"구분별(1)",구분별(2),2011,2011,2011,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022
"구분별(1)",구분별(2),사례수 (명),보유 (%),미보유 (%),사례수 (명),보유 (%),미보유 (%),사례수 (명),보유 (%),미보유 (%),사례수 (명),보유 (%),미보유 (%),사례수 (명),보유 (%),미보유 (%),사례수 (명),보유 (%),미보유 (%),사례수 (명),보유 (%),미보유 (%),사례수 (명),보유 (%),미보유 (%),사례수 (명),보유 (%),미보유 (%),사례수 (명),보유 (%),미보유 (%),사례수 (명),보유 (%),미보유 (%),사례수 (명),보유 (%),미보유 (%)
"학력1",미취학,108.0,0.0,100.0,34.0,0.0,100.0,42.0,0.0,100.0,33.9,0.0,100.0,39.0,1.6,98.4,29.0,0.0,100.0,28.0,7.7,92.3,32.0,3.1,96.9,46.0,0.0,100.0,19.5,0.0,100.0,27.0,0.0,100.0,12.9,7.7,92.3
"학력1",초졸이하,2363.0,1.4,98.6,1931.0,9.5,90.5,1864.0,18.6,81.4,1760.3,23.1,76.9,1657.0,28.0,72.0,1612.0,34.3,65.7,1488.0,40.9,59.1,1458.0,46.7,53.3,1656.0,51.3,48.7,1487.3,58.8,41.2,1393.6,63.6,36.4,1317.0,68.9,31.1
"학력1",중졸이하,1386.0,6.5,93.5,1136.0,25.8,74.2,1084.0,40.2,59.8,1037.0,49.6,50.4,988.0,56.5,43.5,937.0,65.1,34.9,866.0,69.2,30.8,846.0,75.5,24.5,1077.0,79.5,20.5,1015.8,84.2,15.8,967.0,88.7,11.3,941.2,90.0,10.0
"학력1",고졸이하,4107.0,17.7,82.3,3558.0,48.4,51.6,3559.0,72.1,27.9,3403.7,81.2,18.8,3234.0,86.1,13.9,3219.0,90.1,9.9,3077.0,92.6,7.4,3034.0,94.7,5.3,3447.0,95.6,4.4,3283.3,96.5,3.5,3270.1,97.5,2.5,3194.5,98.4,1.6
"학력1",대졸이하,3839.0,42.8,57.2,3486.0,79.0,21.0,3740.0,91.5,8.5,3768.4,96.2,3.8,3782.0,97.5,2.5,3816.0,98.3,1.7,3792.0,99.0,1.0,3877.0,99.2,0.8,4470.0,99.5,0.5,4341.1,99.7,0.3,4341.9,99.8,0.2,4323.3,99.7,0.3
"학력1",대학원재학이상,195.0,50.6,49.4,175.0,75.5,24.5,175.0,90.3,9.7,168.7,94.9,5.1,173.0,96.5,3.5,175.0,98.0,2.0,174.0,98.6,1.4,178.0,98.6,1.4,168.0,99.9,0.1,155.0,99.9,0.1,154.4,100.0,0.0,152.1,99.9,0.1
"학력1",모름/무응답,2.0,0.0,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"학력2",미취학,108.0,0.0,100.0,34.0,0.0,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"학력2",초등학생,888.0,2.9,97.1,715.0,23.8,76.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"학력2",중학생,534.0,12.2,87.8,403.0,55.6,44.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"학력2",고등학생,553.0,20.4,79.6,475.0,66.9,33.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
