"죄종별(1)",죄종별(2),죄종별(3),죄종별(4),1990,1991,1992,1993,1994,1994,1995,1995,1996,1996,1997,1997,1998,1998,1999,1999,2000,2000,2001,2001,2002,2002,2003,2003,2004,2004,2005,2005,2006,2006,2007,2007,2008,2008,2009,2009,2010,2010
"죄종별(1)",죄종별(2),죄종별(3),죄종별(4),발생건수 (건),발생건수 (건),발생건수 (건),발생건수 (건),발생건수 (건),법인체 (개),발생건수 (건),법인체 (개),발생건수 (건),법인체 (개),발생건수 (건),법인체 (개),발생건수 (건),법인체 (개),발생건수 (건),법인체 (개),발생건수 (건),법인체 (개),발생건수 (건),법인체 (개),발생건수 (건),법인체 (개),발생건수 (건),법인체 (개),발생건수 (건),법인체 (개),발생건수 (건),법인체 (개),발생건수 (건),법인체 (개),발생건수 (건),법인체 (개),발생건수 (건),법인체 (개),발생건수 (건),법인체 (개),발생건수 (건),법인체 (개)
"형법범",강력범,강도,강도강간죄,278,193,180,165,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"형법범",강력범,강도,상습강도죄,17,17,5,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"형법범",강력범,강간,소계,4247,3669,3919,5298,6173,-,4844,-,5580,-,5627,-,5978,-,6359,1,6855,-,6751,-,6119,-,6531,-,6950,-,7316,2,8755,-,8726,-,9883,-,10192,-,18220,-
"형법범",강력범,강간,강간,-,-,-,-,2164,-,1676,-,1811,-,1851,-,2060,-,2136,-,2299,-,2071,-,1884,-,1905,-,1877,-,1842,1,2162,-,2001,-,2465,-,2632,-,2808,-
"형법범",강력범,강간,특가법(특수강간),-,-,-,-,275,-,25,-,5,-,5,-,6,-,2,-,4,-,8,-,2,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
"형법범",강력범,강간,특가법(특수강간등미수),-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"형법범",강력범,강간,강제추행(준),-,-,-,-,1057,-,896,-,1028,-,1174,-,1328,-,1722,-,2181,-,2503,-,2339,-,2719,-,3197,-,3782,1,4719,-,5006,-,5650,-,5745,-,6797,-
"형법범",강력범,강간,준강간,-,-,-,-,112,-,99,-,119,-,95,-,139,-,140,-,163,-,154,-,163,-,171,-,185,-,189,-,273,-,302,-,334,-,419,-,505,-
"형법범",강력범,강간,강간등상해,-,-,-,-,-,-,-,-,-,-,98,-,106,-,106,-,115,-,151,-,116,-,137,-,191,-,169,-,182,-,144,-,235,-,195,-,232,-
"형법범",강력범,강간,강간치상(준),-,-,-,-,1771,-,1517,-,1783,-,1550,-,1627,-,1609,1,1500,-,1408,-,1278,-,1247,-,1148,-,970,-,1004,-,886,-,809,-,863,-,821,-
"형법범",강력범,강간,강간치사(준),-,-,-,-,10,-,10,-,10,-,12,-,10,-,18,-,7,-,8,-,6,-,8,-,2,-,-,-,3,-,-,-,1,-,-,-,-,-
"형법범",강력범,강간,강제추행치상(준),-,-,-,-,144,-,143,-,171,-,199,-,180,-,200,-,203,-,229,-,200,-,213,-,235,-,202,-,263,-,229,-,204,-,181,-,204,-
"형법범",강력범,강간,강간등살인,-,-,-,-,-,-,-,-,-,-,7,-,7,-,7,-,8,-,5,-,6,-,1,-,3,-,4,-,5,-,2,-,9,-,7,-,4,-
"형법범",강력범,강간,강제추행치사(준),-,-,-,-,4,-,1,-,1,-,3,-,7,-,1,-,1,-,6,-,5,-,8,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
"형법범",강력범,강간,미성년자등간음·추행(심신미약자),-,-,-,-,173,-,151,-,181,-,182,-,174,-,197,-,206,-,68,-,49,-,48,-,41,-,78,-,71,-,67,-,68,-,71,-,69,-
"형법범",강력범,강간,피보호자(감호자)간음,-,-,-,-,12,-,9,-,13,-,11,-,9,-,6,-,14,-,10,-,12,-,6,-,7,-,3,-,8,-,5,-,4,-,6,-,5,-
"형법범",강력범,강간,미성년자의 제강간(강제추행강간살인),-,-,-,-,450,-,317,-,458,-,440,-,325,-,215,-,154,-,130,-,59,-,68,-,63,-,77,-,64,-,84,-,104,-,73,-,83,-
"형법범",강력범,강간,성폭력범죄의처벌등에관한특례법,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4924,-
"형법범",강력범,강간,아동청소년의성보호에관한법률(강간),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1768,-
"형법범",강력범,강간,강간치사상죄,1982,1614,1694,2182,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"형법범",강력범,강간,강간죄,2164,1940,2134,2986,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"형법범",강력범,강간,준강간죄,101,115,91,130,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
